OBJECTID,GEOID,STFIPS,CDFIPS,STATE_ABBR,NAME,LAST_NAME,PARTY,SQMI,STATE_NAME,Shape__Area,Shape__Length
1,101,1,1,AL,Barry Moore,Moore,Republican,7335.82,Alabama,1.79618079,22.88010915
2,102,1,2,AL,Shomari Figures,Figures,Democrat,9551.34,Alabama,2.354936287,15.28121835
3,103,1,3,AL,Mike Rogers,Rogers,Republican,6870.28,Alabama,1.724847713,7.749121887
4,104,1,4,AL,Robert B. Aderholt,Aderholt,Republican,8853.57,Alabama,2.240823195,11.96623397
5,105,1,5,AL,Dale W. Strong,Strong,Republican,4066.66,Alabama,1.036197231,5.943363497
6,106,1,6,AL,Gary J. Palmer,Palmer,Republican,4554.71,Alabama,1.137728668,8.495931645
7,107,1,7,AL,Terri A. Sewell,Sewell,Democrat,10400.34,Alabama,2.585200665,12.52628247
8,200,2,0,AK,Nicholas J. Begich III,Begich,Republican,587042.86,Alaska,281.7182234,557.648162
9,401,4,1,AZ,David Schweikert,Schweikert,Republican,1614.18,Arizona,0.406585308,3.751039312
10,402,4,2,AZ,Elijah Crane,Crane,Republican,58490.8,Arizona,14.98420349,25.17828935
11,403,4,3,AZ,Yassamin Ansari,Ansari,Democrat,206.48,Arizona,0.051843063,1.311330879
12,404,4,4,AZ,Greg Stanton,Stanton,Democrat,179.76,Arizona,0.045115698,1.674218407
13,405,4,5,AZ,Andy Biggs,Biggs,Republican,405.76,Arizona,0.101728174,2.054373234
14,406,4,6,AZ,Juan Ciscomani,Ciscomani,Republican,13711.3,Arizona,3.403049855,13.70759697
15,407,4,7,AZ,Adelita S. Grijalva,Grijalva,Democrat,15422.75,Arizona,3.823196211,16.92130178
16,408,4,8,AZ,Abraham J. Hamadeh,Hamadeh,Republican,578.79,Arizona,0.145930972,2.416247549
17,409,4,9,AZ,Paul A. Gosar,Gosar,Republican,23375.24,Arizona,5.956119656,20.33879508
18,501,5,1,AR,Eric A. “Rick” Crawford,Crawford,Republican,20400.87,Arkansas,5.240860909,23.75441311
19,502,5,2,AR,J. French Hill,Hill,Republican,5441.31,Arkansas,1.394263675,8.226653658
20,503,5,3,AR,Steve Womack,Womack,Republican,4244.97,Arkansas,1.09905894,5.638412464
21,504,5,4,AR,Bruce Westerman,Westerman,Republican,23111.08,Arkansas,5.856257105,16.78179765
22,601,6,1,CA,Vacant,Vacant,Republican,27048.32,California,7.472482061,20.85601092
23,602,6,2,CA,Jared Huffman,Huffman,Democrat,13112.31,California,3.589167921,22.15869714
24,603,6,3,CA,Kevin Kiley,Kiley,Republican,22048.58,California,5.848495435,23.8379278
25,604,6,4,CA,Mike Thompson,Thompson,Democrat,3905.94,California,1.047902579,9.162719667
26,605,6,5,CA,Tom McClintock,McClintock,Republican,9967.65,California,2.637957116,14.24319273
27,606,6,6,CA,Ami Bera,Bera,Democrat,254.26,California,0.068128565,1.697800647
28,607,6,7,CA,Doris O. Matsui,Matsui,Democrat,693.56,California,0.185165345,3.714414897
29,608,6,8,CA,John Garamendi,Garamendi,Democrat,488.8,California,0.130084379,6.192734226
30,609,6,9,CA,Josh Harder,Harder,Democrat,1383.49,California,0.367428626,4.437500127
31,610,6,10,CA,Mark DeSaulnier,DeSaulnier,Democrat,555.42,California,0.147342096,3.185777011
32,611,6,11,CA,Nancy Pelosi,Pelosi,Democrat,41.96,California,0.011112381,1.131762297
33,612,6,12,CA,Lateefah Simon,Simon,Democrat,93.18,California,0.024684416,1.946214767
34,613,6,13,CA,Adam Gray,Gray,Democrat,6349.25,California,1.66310391,9.601022285
35,614,6,14,CA,Eric Swalwell,Swalwell,Democrat,586.96,California,0.155177995,2.541550078
36,615,6,15,CA,Kevin Mullin,Mullin,Democrat,111.63,California,0.029491422,2.213545185
37,616,6,16,CA,Sam T. Liccardo,Liccardo,Democrat,533.56,California,0.140527185,3.699506585
38,617,6,17,CA,Ro Khanna,Khanna,Democrat,180.75,California,0.047654028,1.790703037
39,618,6,18,CA,Zoe Lofgren,Lofgren,Democrat,4607.87,California,1.200141985,9.586423237
40,619,6,19,CA,Jimmy Panetta,Panetta,Democrat,2833.02,California,0.735209119,12.32867717
41,620,6,20,CA,Vince Fong,Fong,Republican,9722.56,California,2.510186365,18.30207973
42,621,6,21,CA,Jim Costa,Costa,Democrat,893.51,California,0.232935729,3.938814086
43,622,6,22,CA,David G. Valadao,Valadao,Republican,4320.69,California,1.115447542,6.705292638
44,623,6,23,CA,Jay Obernolte,Obernolte,Republican,17985.42,California,4.595285746,11.95841661
45,624,6,24,CA,Salud O. Carbajal,Carbajal,Democrat,4912.3,California,1.254541868,11.67690679
46,625,6,25,CA,Raul Ruiz,Ruiz,Democrat,12351.97,California,3.109768814,15.73020265
47,626,6,26,CA,Julia Brownley,Brownley,Democrat,1724.96,California,0.438396725,4.683245833
48,627,6,27,CA,George Whitesides,Whitesides,Democrat,1528.48,California,0.389049497,3.701635993
49,628,6,28,CA,Judy Chu,Chu,Democrat,789.68,California,0.200218571,4.411812646
50,629,6,29,CA,Luz M. Rivas,Rivas,Democrat,129.33,California,0.032795451,1.546045234
51,630,6,30,CA,Laura Friedman,Friedman,Democrat,180.08,California,0.045634649,2.020964454
52,631,6,31,CA,"Gilbert Ray Cisneros, Jr.",Cisneros,Democrat,210.97,California,0.053409883,2.554137107
53,632,6,32,CA,Brad Sherman,Sherman,Democrat,297.24,California,0.075233186,2.385444592
54,633,6,33,CA,Pete Aguilar,Aguilar,Democrat,190.23,California,0.048145599,1.849635566
55,634,6,34,CA,Jimmy Gomez,Gomez,Democrat,50.05,California,0.012660086,0.891173208
56,635,6,35,CA,Norma J. Torres,Torres,Democrat,177.42,California,0.044862419,1.530255405
57,636,6,36,CA,Ted Lieu,Lieu,Democrat,97.35,California,0.024576591,1.943111009
58,637,6,37,CA,Sydney Kamlager-Dove,Kamlager-Dove,Democrat,52.83,California,0.013354814,0.75838092
59,638,6,38,CA,Linda T. Sánchez,Sánchez,Democrat,150.7,California,0.038074906,1.893172503
60,639,6,39,CA,Mark Takano,Takano,Democrat,285.77,California,0.072148425,2.165453791
61,640,6,40,CA,Young Kim,Kim,Republican,393.25,California,0.099110529,2.926947099
62,641,6,41,CA,Ken Calvert,Calvert,Republican,1345.69,California,0.339079096,8.528029558
63,642,6,42,CA,Robert Garcia,Garcia,Democrat,213.51,California,0.053625417,4.456067414
64,643,6,43,CA,Maxine Waters,Waters,Democrat,72.42,California,0.018283732,1.086692807
65,644,6,44,CA,Nanette Diaz Barragan,Barragan,Democrat,92.26,California,0.023273904,1.995494592
66,645,6,45,CA,Derek Tran,Tran,Democrat,103.97,California,0.026224632,2.066499983
67,646,6,46,CA,J. Luis Correa,Correa,Democrat,74.98,California,0.018906585,1.221183619
68,647,6,47,CA,Dave Min,Min,Democrat,173.81,California,0.043758717,2.90286862
69,648,6,48,CA,Darrell Issa,Issa,Republican,3634.41,California,0.909078101,7.609415532
70,649,6,49,CA,Mike Levin,Levin,Democrat,497.97,California,0.124921135,3.308111305
71,650,6,50,CA,Scott H. Peters,Peters,Democrat,258.68,California,0.064640799,4.238540757
72,651,6,51,CA,Sara Jacobs,Jacobs,Democrat,191.05,California,0.047656687,2.316130993
73,652,6,52,CA,Juan Vargas,Vargas,Democrat,136.78,California,0.034040913,1.519726676
74,801,8,1,CO,Diana DeGette,DeGette,Democrat,155.55,Colorado,0.042345537,2.495925175
75,802,8,2,CO,Joe Neguse,Neguse,Democrat,11539.78,Colorado,3.165742594,11.32064441
76,803,8,3,CO,Jeff Hurd,Hurd,Republican,50086.8,Colorado,13.39319624,23.73192764
77,804,8,4,CO,Lauren Boebert,Boebert,Republican,32295.93,Colorado,8.739911614,19.40582164
78,805,8,5,CO,Jeff Crank,Crank,Republican,1474.3,Colorado,0.396034953,3.028007476
79,806,8,6,CO,Jason A. Crow,Crow,Democrat,310.96,Colorado,0.084552844,3.415456166
